Country,Code,Year, Ambient pollution,Underweight,Household air pollution,No handwashing facility,Secondhand smoke,Vitamin A deficiency,Zinc deficiency ,Short gestation,Non-exclusive breastfeeding,Low birth weight,Child wasting , Child stunting
Afghanistan,AFG,1990,1582.15,3315.63,9302,2059.43,1495.55,1748.91,298.09,3046.31,1481.66,976.73,10971.88,4718.6
Afghanistan,AFG,1991,1564.69,3197.27,9008.65,2007.54,1457.1,1682.48,309.6,3059.27,1449.09,989.52,10584.17,4527.71
Afghanistan,AFG,1992,1623.34,3278.23,9349.08,2089.19,1517.54,1737.67,327.27,3294.08,1530.87,1071.62,10880.24,4625.2
Afghanistan,AFG,1993,2022.75,3906.63,11604.92,2603.66,1892.38,2107.26,377.99,4546.13,1971.27,1489.93,13026.93,5487.14
Afghanistan,AFG,1994,2369.76,4816.65,13626.77,3068.02,2232.26,2606.6,498.68,4679.9,2298.52,1531.47,16091.75,6741.89
Afghanistan,AFG,1995,2494.18,5215.48,14462.95,3258.89,2379.5,2775.85,653.41,4690.09,2371.63,1535.88,17370.84,7291.28
Afghanistan,AFG,1996,2536.7,5242.8,14604.81,3298.65,2420.63,2791.13,741.64,4789.62,2387.77,1568.9,17481.64,7332.1
Afghanistan,AFG,1997,2565.6,5280.92,14644.29,3321.24,2455.8,2815.2,834.15,4747.3,2392.12,1555.16,17636.59,7376.75
Afghanistan,AFG,1998,2492.18,5205.16,14520.33,3284.83,2452.87,2791.66,915.35,4659.83,2359.66,1526,17436.2,7284.81
Afghanistan,AFG,1999,2453.36,5057.45,14166.98,3211.81,2424.19,2731.58,983.47,4563.67,2301.86,1491.95,17015.53,7086.55
Afghanistan,AFG,2000,2273.55,4691.23,13025.03,2966.71,2260.89,2545.41,1024.59,4082.75,2089.2,1333.26,15832.3,6595.71
Afghanistan,AFG,2001,2192.1,4334.39,12355.98,2827.85,2173.43,2373.42,968.94,4160.76,1948.5,1362.96,14744.94,6124.19
Afghanistan,AFG,2002,2117.54,4014.81,11470.49,2647.89,2053.86,2238.25,901.86,3868.83,1777.8,1268.38,13825.34,5722.52
Afghanistan,AFG,2003,2535.43,4646.84,13186.93,3071.38,2407.48,2571.27,1213.01,4359.9,1928.72,1440.18,16100.72,6701.98
Afghanistan,AFG,2004,2576.71,4784.02,13386.6,3119.97,2468.24,2691.53,1311.49,3967.71,1880.17,1317.29,16811.14,6984.89
Afghanistan,AFG,2005,2540.79,4474.94,12740.35,2993.25,2394.55,2557.72,1293.83,3923.95,1768.35,1311.48,15953.46,6619.28
Afghanistan,AFG,2006,2492.12,4144.11,12065.07,2851.18,2315.48,2441.05,1168.95,3822.08,1694.28,1285.55,15095.16,6211.71
Afghanistan,AFG,2007,2379.26,3716.87,10855.55,2583.79,2147.06,2249.72,1053.62,3358.42,1556.77,1137.45,13854.44,5667.21
Afghanistan,AFG,2008,2210.27,3171.33,9690.91,2312.53,1965.19,1993.43,865.24,3287.4,1469.16,1123.69,12160.7,4907.95
Afghanistan,AFG,2009,2109.61,2790.2,8791.06,2109.92,1829.49,1836.47,692.94,3127.79,1432.9,1080.79,11036.9,4375.81
Afghanistan,AFG,2010,2076.29,2615.3,8311.58,2002.78,1760.67,1765.26,667.03,2903.66,1409.64,1016.32,10594.6,4168.45
Afghanistan,AFG,2011,2112.96,2405.69,7770.43,1906.69,1685.68,1680.83,595.7,2838.51,1392.46,1007.75,10009.42,3899.02
Afghanistan,AFG,2012,2058.75,2210.93,7262.51,1802.12,1601.4,1598.78,520.69,2703.09,1356.47,972.26,9444.71,3626.17
Afghanistan,AFG,2013,2048.31,2189.13,7266.89,1813.54,1619.07,1611.06,556.71,2644.15,1363.65,961.26,9551.96,3648.79
Afghanistan,AFG,2014,2009.24,2089.75,7085.84,1780.55,1594.48,1580.22,531.55,2612.72,1355.06,957.24,9332.7,3523.22
Afghanistan,AFG,2015,2083.94,1962.28,6716.13,1722.04,1545.7,1529.95,489.85,2541.1,1320.62,937.36,8987.76,3353.96
Afghanistan,AFG,2016,1961.75,1871.66,6563.18,1679.44,1513.06,1491.41,489.23,2480.36,1271.26,920.24,8770.84,3237.66
Afghanistan,AFG,2017,2032.27,1806.37,6460.59,1673.71,1507.09,1476.39,476.52,2521.43,1252.49,936.52,8664.81,3157.89
Albania,ALB,1990,142.47,114.24,391,25.71,267.95,149.55,18.21,98.84,141.42,84.69,856.92,268.52
Albania,ALB,1991,149.53,123.38,408.1,27.13,281.19,157.86,21.36,94.15,142.63,81.73,918.74,291.16
Albania,ALB,1992,143.99,120.49,396.08,26.56,272.7,153.19,20.53,90.45,138.1,79.6,894.44,284.31
Albania,ALB,1993,136.78,114.85,374.68,25.23,259.21,145.2,19.3,86.46,131.27,76.95,851.2,270.68
Albania,ALB,1994,126.52,105.01,336.84,22.79,236.97,132.48,17.13,79.89,121.14,71.56,778.29,247.28
Albania,ALB,1995,111.83,91.22,290.33,19.51,207.2,115.29,14.15,72.6,108.02,64.84,676.95,214.79
Albania,ALB,1996,97.67,76.63,243.65,16.21,177.51,98.07,11,65.18,95.13,57.74,575.18,181.22
Albania,ALB,1997,84.22,62.14,199.55,13.36,149.33,81.41,8.48,57.26,81.62,50.53,478.92,148.8
Albania,ALB,1998,71.68,49.06,160.71,10.82,123.85,66.13,6.65,49.77,68.37,43.84,392.23,119.62
Albania,ALB,1999,65.9,40.33,138.57,9.3,110.62,56.67,5.15,51.45,62.38,45.3,336.76,100.36
Albania,ALB,2000,53.73,32.64,108.36,7.33,88.58,47.14,4.34,33.57,50.34,29.39,283.4,82.85
Albania,ALB,2001,41.19,22.41,78.25,5.34,65.92,32.9,3.48,29.95,36.14,26.38,202.19,58.11
Albania,ALB,2002,34.06,16.77,60.99,4.23,52.86,25.75,2.7,26.09,29.35,22.72,159.24,44.69
Albania,ALB,2003,28.34,12.69,48.55,3.39,42.94,20.28,2.23,23.15,23.97,19.77,126.94,34.75
Albania,ALB,2004,23.71,9.65,38.3,2.72,34.96,16,1.82,20.42,19.72,17.03,101.47,27.08
Albania,ALB,2005,20.24,7.69,31.36,2.26,29.36,13.02,1.53,18.18,16.73,14.8,84.08,21.91
Albania,ALB,2006,17.75,6.35,25.75,1.91,25.13,10.83,1.27,16.13,14.29,12.85,71.52,18.26
Albania,ALB,2007,15.43,5.28,20.8,1.61,21.31,9.05,1.03,13.73,12.07,10.83,60.98,15.25
Albania,ALB,2008,14.24,4.71,17.91,1.44,19.27,8.15,0.88,12.21,10.88,9.58,55.78,13.68
Albania,ALB,2009,12.88,4.17,15.53,1.26,17.22,7.27,0.74,10.67,9.84,8.31,50.45,12.15
Albania,ALB,2010,11.99,3.8,13.81,1.14,15.87,6.68,0.64,9.67,9.21,7.49,46.83,11.12
Albania,ALB,2011,11.86,3.5,12.38,1.04,14.77,6.23,0.6,8.69,8.74,6.7,44.01,10.33
